'Month','<2.5kW','2.5–4.5','4.5–6.5','6.5–9.5','9.5–14','14–25','25–50','50–100','100kW–5MW','5MW–30MW','30+ MW'
2007-01,11,15,0,0,0,0,0,0,0,0,0
2007-02,24,7,5,7,0,0,0,0,0,0,0
2007-03,31,6,0,7,0,0,0,0,0,0,0
2007-04,22,10,0,13,0,0,0,0,0,0,0
2007-05,32,17,5,0,0,0,0,0,0,0,0
2007-06,53,6,5,0,0,0,0,0,0,0,0
2007-07,101,17,5,0,0,0,0,0,0,0,0
2007-08,98,27,17,0,0,0,0,0,0,0,0
2007-09,126,45,15,0,0,0,0,0,0,0,0
2007-10,131,55,16,0,0,0,0,0,0,0,0
2007-11,155,36,0,0,0,0,0,0,0,0,0
2007-12,129,43,5,0,0,0,0,64,0,0,0
2008-01,149,40,0,0,0,0,0,99,0,0,0
2008-02,207,49,5,0,0,0,0,0,0,0,0
2008-03,221,38,18,14,0,0,0,0,0,0,0
2008-04,214,34,12,7,0,0,36,0,0,0,0
2008-05,278,41,10,8,0,0,0,0,0,0,0
2008-06,237,27,17,0,0,0,0,0,0,0,0
2008-07,284,62,21,0,12,0,0,0,0,0,0
2008-08,304,61,0,7,11,0,0,0,0,0,0
2008-09,300,71,33,31,10,0,0,0,0,0,0
2008-10,375,94,16,8,10,0,0,0,0,0,0
2008-11,413,56,5,8,0,0,0,0,0,0,0
2008-12,536,122,32,15,11,0,0,0,0,0,0
2009-01,523,67,20,7,0,0,0,0,0,0,0
2009-02,719,84,11,7,0,43,0,0,0,0,0
2009-03,866,91,28,0,0,15,0,100,0,0,0
2009-04,891,117,117,7,48,23,0,0,0,0,0
2009-05,1003,130,44,14,20,0,0,0,0,0,0
2009-06,1057,107,53,7,0,17,0,0,0,0,0
2009-07,1179,102,76,21,10,0,34,0,0,0,0
2009-08,1616,159,46,13,10,0,37,0,0,0,0
2009-09,2034,191,95,7,10,0,0,0,0,0,0
2009-10,2077,240,142,30,0,24,57,0,0,0,0
2009-11,2478,266,222,39,20,0,0,0,0,0,0
2009-12,2135,364,197,30,92,40,36,51,0,0,0
2010-01,2114,340,151,46,132,0,0,0,0,0,0
2010-02,2863,692,267,78,200,60,0,0,0,0,0
2010-03,4078,1133,551,96,402,105,60,0,0,0,0
2010-04,4815,1620,478,96,425,20,0,0,0,0,0
2010-05,6288,1986,591,210,702,20,0,0,0,0,0
2010-06,7956,3026,1075,362,1410,0,29,200,0,0,0
2010-07,8570,3385,1387,434,1330,37,30,0,0,0,0
2010-08,9290,3838,1589,508,1636,0,130,65,0,0,0
2010-09,10471,4583,1721,379,1772,16,72,0,0,0,0
2010-10,11961,5042,1981,692,1666,37,30,0,0,0,0
2010-11,13502,6135,2365,493,1921,16,63,0,0,0,0
2010-12,9031,4032,1489,445,1816,19,0,0,0,0,0
2011-01,14426,7075,2654,618,3186,61,137,0,0,0,0
2011-02,13987,6501,2629,825,3004,55,90,142,0,0,0
2011-03,14697,7043,3124,725,4408,98,176,0,0,0,0
2011-04,12293,5565,2259,765,4390,73,30,0,0,0,0
2011-05,16936,6931,2491,632,4297,96,150,0,0,0,0
2011-06,20932,9393,3017,604,3006,264,205,0,0,0,0
2011-07,2722,1416,557,196,837,179,130,0,0,0,0
2011-08,2397,1337,423,109,713,103,99,0,0,0,0
2011-09,2162,1127,360,193,620,61,0,0,237,0,0
2011-10,2184,1433,414,94,660,106,278,0,0,0,0
2011-11,2328,1698,636,118,1356,76,59,51,0,0,0
2011-12,2277,1581,641,203,399,144,77,50,0,0,0
